Flow,Monitoring Set,Monitoring Location,Date,Analyte,Value,Unit,Test Location,Remarks
Base Flow,Yawger Creek,Yawger Creek Large Ridge,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,14.2,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Townline West,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,8.19,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,9.89,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek @ Cork & Townline,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,9.54,mg/L,Lab,
Base Flow,Yawger Creek,Yawger Creek North Branch,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,10.5,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,13.0,mg/L,Lab,
Base Flow,Great Gully Creek,Great Gully Creek @ Chase Rd. & Rt. 34B,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,18.4,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Day Road at Marlena Point,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.73,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Brandy Bay Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Glen Brook Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.1,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Pulteney Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,9.11,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Reservoir Hill and Glen Brook,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.14,mg/L,Lab,
Base Flow,Salmon Creek,Center Road,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.85,mg/L,Lab,
Base Flow,Salmon Creek,Tile Kiln Road,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,6.91,mg/L,Lab,
Base Flow,Salmon Creek,Sherwood Road,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,10.6,mg/L,Lab,
Base Flow,Salmon Creek,Genoa,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.74,mg/L,Lab,
Base Flow,Salmon Creek,Lockerby Hill Road,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.29,mg/L,Lab,
Base Flow,Salmon Creek,North Ludlowville,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.58,mg/L,Lab,
Base Flow,Salmon Creek,Little Salmon Creek Above Fork,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.13,mg/L,Lab,
Base Flow,Salmon Creek,Bridge @ Blakley Rd.,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,4.68,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Mt. Washington Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.05,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Middle Triad Trail,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Keuka Lake Tributaries,Willow Grove Mouth,"Jul 14, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,5.09,mg/L,Lab,
Base Flow,Salmon Creek,Locke Creek,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.29,mg/L,Lab,
Base Flow,Salmon Creek,Salmon Creek Mouth,"Aug 10, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,3.46,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek Mouth,"Aug 04, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.4,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at 96a,"Aug 04, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.74,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Lodi Covert Townline Rd.,"Aug 04, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,1.37,mg/L,Lab,
Base Flow,Sheldrake Creek,Sheldrake Creek at Hall Rd.,"Aug 04, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.85,mg/L,Lab,
Base Flow,Keuka Lake,Central Shallow,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.13,mg/L,Lab,
Base Flow,Keuka Lake,Central Deep,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.21,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Deep,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Keuka Lake,South Shallow,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake,South Deep,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.23,mg/L,Lab,
Base Flow,Keuka Lake,Eggleston Pt,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,Willow Grove,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake,"Stone Pt, Pulteney","Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,H\port Beach,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,Central thermocline depth,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.11,mg/L,Lab,
Base Flow,Keuka Lake,East thermocline depth,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.13,mg/L,Lab,
Base Flow,Keuka Lake,West thermocline depth,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,South thermocline depth,"Jun 16, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.12,mg/L,Lab,
Base Flow,Keuka Lake,Central Shallow,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.03,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Shallow,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Keuka Lake,Central Deep,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.24,mg/L,Lab,
Base Flow,Keuka Lake,East Branch Deep,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.25,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Deep,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.22,mg/L,Lab,
Base Flow,Keuka Lake,West Branch Shallow,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.01,mg/L,Lab,
Base Flow,Keuka Lake,South Shallow,"Sep 29, 2021",Nitrate-+Nitrite-Nitrogen (as N) ,0.04,mg/L,Lab,
