OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-NY,USGS New York Water Science Center,USGS-01301500,HUTCHINSON RIVER AT PELHAM NY,Stream,,02030102,5.78,sq mi,,,40.91111110000000,-73.8133333000000,24000,1,seconds,Interpolated from MAP.,NAD83,12.92,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,119,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01302020,BRONX RIVER AT NY BOTANICAL GARDEN AT BRONX NY,Stream,,02030102,38.4,sq mi,,,40.86230556000000,-73.8743888900000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,49.86,feet,.08,feet,GNSS2 - Level 2 Quality Survey Grade Global Navigation Satellite System,NAVD88,US,36,005,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01302050,ALLEY CREEK NEAR OAKLAND GARDENS NY,Stream,,02030201,0.68,sq mi,,,40.75583330000000,-73.7458333000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,081,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01302125,GABBLERS CREEK AT LITTLE NECK NY,Stream,,02030201,0.52,sq mi,,,40.77316667000000,-73.7443333000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,10,feet,10,feet,Interpolated from topographic map.,NGVD29,US,36,081,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304000,NISSEQUOGUE RIVER NEAR SMITHTOWN NY,Stream,,02030201,27.0,sq mi,,,40.84991667000000,-73.2242222000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,9.59,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304440,PECONIC RIVER NEAR CALVERTON NY,Stream,,02030202,,,,,40.90065395000000,-72.7737117000000,24000,1,seconds,Interpolated from MAP.,NAD83,,,,,,,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304500,PECONIC RIVER AT RIVERHEAD NY,Stream,,02030202,74.7,sq mi,,,40.91369444000000,-72.6869444000000,24000,.1,seconds,Interpolated from Digital MAP.,NAD83,6.54,feet,.01,feet,Level or other surveyed method.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304595,"BIG FRESH POND NEAR NORTH SEA, NY","Lake, Reservoir, Impoundment",,02030202,0.86,sq mi,,,40.92204480000000,-72.4211966000000,24000,1,minutes,Interpolated from MAP.,NAD83,10,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304629,"TROUT POND AT NOYACK, NY","Lake, Reservoir, Impoundment",,02030202,1.07,sq mi,,,40.99287766000000,-72.3495274900000,24000,1,minutes,Interpolated from MAP.,NAD83,18,feet,1,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
USGS-NY,USGS New York Water Science Center,USGS-01304655,"LONG POND NEAR SAG HARBOR, NY","Lake, Reservoir, Impoundment",,02030202,2.31,sq mi,,,40.97232185000000,-72.2936932000000,24000,1,seconds,Interpolated from MAP.,NAD83,20,feet,5,feet,Interpolated from topographic map.,NGVD29,US,36,103,,,,,,,,,,NWIS
